model,rouge1,rouge2,rougeL,bleu,inference_ms
HuggingFaceTB/SmolLM2-360M-Instruct,0.08775845829388566,0.0015923566878980895,0.05363003131712646,0.14729186886368048,12872.686982154846
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.08907448009936554,0.007873112659698025,0.05343887940846301,0.021719844916647867,11528.50317955017
Qwen/Qwen2.5-1.5B-Instruct,0.1734866477422068,0.023997491220642757,0.0959730589286653,0.454435065734613,25588.647067546844
