model,seed,train_loss,val_loss,train_time_sec,gpu_memory_gb,rouge1,rouge2,rougeL,bleu,inference_ms
SmolLM2-360M,42,2.6203175087769828,2.789431095123291,41.495973348617554,4.400827407836914,0.12993666703700582,0.0015822784810126584,0.07138529542281691,0.07439845186138086,18199.152290821075
SmolLM2-360M,123,2.6207200785477958,2.7912020683288574,44.02280020713806,4.401750564575195,0.13250790307380178,0.004360056258790436,0.07877456787019496,0.08270637710424122,17249.856412410736
SmolLM2-360M,2026,2.622932881116867,2.790618419647217,46.604620695114136,4.401750564575195,0.12606801074601243,0.002990729185238011,0.07261104032429067,0.08633425272963063,16098.144710063934
