model,seed,train_loss,val_loss,train_time_sec,gpu_memory_gb,rouge1,rouge2,rougeL,bleu,inference_ms
Qwen2.5-1.5B,42,2.8062579731146493,2.9421238899230957,127.88800716400146,3.906611442565918,0.18695422219600685,0.03174172128619471,0.1008084632439428,0.5128173522144215,26832.55696296692
Qwen2.5-1.5B,123,2.809159646431605,2.9350056648254395,142.97478199005127,3.915766716003418,0.18050734480134323,0.026559461708977432,0.09820686751150517,0.43352651628995725,27415.798246860504
Qwen2.5-1.5B,2026,2.8169490694999695,2.9555368423461914,142.7183210849762,3.914484977722168,0.1790075310960061,0.017867786019911618,0.09399691978036695,0.27902297874795595,25710.11483669281
