Model,Durum,rouge1,rouge2,rougeL,bleu,inference_ms
HuggingFaceTB/SmolLM2-360M-Instruct,Zero-shot,0.0877584582938856,0.001592356687898,0.0536300313171264,0.1472918688636804,12872.686982154846
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Zero-shot,0.0890744800993655,0.007873112659698,0.053438879408463,0.0217198449166478,11528.50317955017
Qwen/Qwen2.5-1.5B-Instruct,Zero-shot,0.1734866477422068,0.0239974912206427,0.0959730589286653,0.454435065734613,25588.647067546844
Qwen2.5-1.5B,Fine-tuned,0.1821563660311187,0.025389656338361235,0.09767075017860494,0.4084556157507782,26652.823348840077
SmolLM2-360M,Fine-tuned,0.12950419361893997,0.0029776879750136667,0.07425696787243413,0.0811463605650842,17182.384471098583
TinyLlama-1.1B,Fine-tuned,0.11181531146315914,0.008048133692955832,0.06809791162297495,0.05795312357815633,12063.755492369333
